what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493154629863
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493154631161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493154631815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493154633569
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1493154635679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493154649866
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493154652560
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493154679603
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493154680339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493154684100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493154685056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493154692595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493154693640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493154694930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493154699157
executed,command,org.eclipse.mylyn.tasks.search,,"org.eclipse.mylyn.tasks.ui.command.searchForTask",1493154699183
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1493154700442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493154703280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493154723460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493154727284
